house_price_index,air_transport_national,population_by_education,resource_productivity,taxes_revenues,air_emissions,life_expectancy,air_pollutants,average_working_hours,income,e_tech,human_science,managment_waste,waste_electrical,crime_area,broadband_households,unemployment
-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56
1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43
2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77
3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13
13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72,13.72
16.53,16.53,16.53,16.53,16.53,16.53,16.53,16.53,16.53,16.53,16.53,16.53,16.53,16.53,16.53,16.53,16.53
0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59
-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58
-4.67,-4.67,-4.67,-4.67,-4.67,-4.67,-4.67,-4.67,-4.67,-4.67,-4.67,-4.67,-4.67,-4.67,-4.67,-4.67,-4.67
-1.76,-1.76,-1.76,-1.76,-1.76,-1.76,-1.76,-1.76,-1.76,-1.76,-1.76,-1.76,-1.76,-1.76,-1.76,-1.76,-1.76
6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42
4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39
4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19
2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51
0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06,-2.06
-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6
1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35
9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42
8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02
1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68
2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79
3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95
6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96
4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71
6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86
11.46,11.46,11.46,11.46,11.46,11.46,11.46,11.46,11.46,11.46,11.46,11.46,11.46,11.46,11.46,11.46,11.46
3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58
-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47,-1.47
-2.89,-2.89,-2.89,-2.89,-2.89,-2.89,-2.89,-2.89,-2.89,-2.89,-2.89,-2.89,-2.89,-2.89,-2.89,-2.89,-2.89
-3.85,-3.85,-3.85,-3.85,-3.85,-3.85,-3.85,-3.85,-3.85,-3.85,-3.85,-3.85,-3.85,-3.85,-3.85,-3.85,-3.85
-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45
-3.36,-3.36,-3.36,-3.36,-3.36,-3.36,-3.36,-3.36,-3.36,-3.36,-3.36,-3.36,-3.36,-3.36,-3.36,-3.36,-3.36
3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66
5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
13.08,13.08,13.08,13.08,13.08,13.08,13.08,13.08,13.08,13.08,13.08,13.08,13.08,13.08,13.08,13.08,13.08
5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81
3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59
4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05
2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86
0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12
5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93
2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64
7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02
7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22
7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75
7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46
4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62
1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49
5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01
13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38
5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45
5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02
8.53,8.53,8.53,8.53,8.53,8.53,8.53,8.53,8.53,8.53,8.53,8.53,8.53,8.53,8.53,8.53,8.53
1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86
7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12
5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95
3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24
6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99
3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63
8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67
11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66
4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54
6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14
5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91
6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19
3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12
3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83
-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1
2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78
8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92
5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61
12.22,12.22,12.22,12.22,12.22,12.22,12.22,12.22,12.22,12.22,12.22,12.22,12.22,12.22,12.22,12.22,12.22
5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29
7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53
5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28
3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85
9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24
6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05
8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27
5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56
6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64
